id,subSite,siteCode,siteName,typeSite,numberOfPeople,penaltyRate,workDate,workingPeople,,
189,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/3/2025,0,,
190,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/4/2025,3,,
191,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/5/2025,0,,
192,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/6/2025,3,,
193,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/7/2025,3,,
194,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/8/2025,3,,
195,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/9/2025,3,,
196,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/10/2025,3,,
197,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/11/2025,3,,
198,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/12/2025,0,,
199,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,13/1/2025,3,,
200,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,14/1/2025,3,,
201,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,15/1/2025,3,,
202,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,16/1/2025,3,,
203,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,17/1/2025,3,,
204,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,18/1/2025,3,,
205,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,19/1/2025,0,,
206,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,20/1/2025,3,,
207,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,21/1/2025,3,,
208,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,22/1/2025,3,,
209,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,23/1/2025,3,,
210,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,24/1/2025,3,,
211,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,25/1/2025,3,,
212,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,26/1/2025,0,,
213,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,27/1/2025,3,,
214,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,28/1/2025,3,,
215,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,29/1/2025,3,,
216,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,30/1/2025,3,,
217,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,31/1/2025,3,,
218,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/1/2025,0,,
219,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/2/2025,10,,
220,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/3/2025,10,,
221,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/4/2025,10,,
222,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/5/2025,0,,
223,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/6/2025,10,,
224,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/7/2025,10,,
225,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/8/2025,10,,
226,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/9/2025,10,,
227,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/10/2025,10,,
228,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/11/2025,10,,
229,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,1/12/2025,0,,
230,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,13/1/2025,10,,
231,67LML0014,67LML0014,บุญรอดบริวฯ - งานสวน,ชดแรงภายในวัน,10,500,14/1/2025,10,,
